"employees","salaries_2017","salary_adjustments","salaries_2018","raise"
"employee 1",49398.6997520551,-525.633846409619,48873.0659056455,FALSE
"employee 2",41962.6756175421,8565.70333126001,50528.3789488021,TRUE
"employee 3",44572.5861517712,7634.81188914739,52207.3980409186,TRUE
"employee 4",48669.1562947817,-1618.22766880505,47050.9286259767,FALSE
"employee 5",47314.6129446104,11.4013813436031,47326.014325954,TRUE
"employee 6",44642.9399889894,8476.51754156686,53119.4575305562,TRUE
"employee 7",41549.6484283358,-3747.91460111737,37801.7338272184,FALSE
"employee 8",42829.8771078698,6744.3580518011,49574.2351596709,TRUE
"employee 9",45440.9177904017,-3442.33458279632,41998.5832076054,FALSE
"employee 10",45024.8874467798,3979.34439009987,49004.2318368796,TRUE
"employee 11",45801.4447637834,7000.05102204159,52801.495785825,TRUE
"employee 12",45042.3746020533,-3449.30224935524,41593.0723526981,FALSE
"employee 13",42360.7868724503,5368.66264184937,47729.4495142996,TRUE
"employee 14",44086.7474908009,-1298.23287948966,42788.5146113113,FALSE
"employee 15",43532.6662985608,8535.03371356055,52067.7000121213,TRUE
"employee 16",49110.6222337112,7535.74886824936,56646.3711019605,TRUE
"employee 17",41945.7247736864,5560.98874541931,47506.7135191057,TRUE
"employee 18",42982.4907565489,-3329.91451025009,39652.5762462988,FALSE
"employee 19",44896.8985443935,7368.16030694172,52265.0588513352,TRUE
"employee 20",40434.3189205974,1478.69503241964,41913.0139530171,TRUE
"employee 21",45986.4371269941,7154.77634454146,53141.2134715356,TRUE
"employee 22",42290.1264508255,677.56172735244,42967.6881781779,TRUE
"employee 23",44433.2557939924,4821.11030141823,49254.3660954107,TRUE
"employee 24",47001.0302076116,7287.16969606467,54288.1999036763,TRUE
"employee 25",47818.916332908,5177.26120888256,52996.1775417905,TRUE
"employee 26",45777.1286484785,-2645.97284025513,43131.1558082234,FALSE
"employee 27",47882.2630201466,1528.05271791294,49410.3157380596,TRUE
"employee 28",44740.1942336001,3004.01902990416,47744.2132635042,TRUE
"employee 29",42697.8818723001,1209.59113934077,43907.4730116408,TRUE
"employee 30",49718.1389993057,8968.24859315529,58686.387592461,TRUE
"employee 31",44829.371990636,-1475.07881280035,43354.2931778356,FALSE
"employee 32",40953.6711033434,-2903.82676292211,38049.8443404213,FALSE
"employee 33",49278.7870182656,6446.41506485641,55725.202083122,TRUE
"employee 34",49981.6939095035,1349.40042509697,51331.0943346005,TRUE
"employee 35",46184.0147315525,-4208.83301529102,41975.1817162614,FALSE
"employee 36",42060.2528844029,9791.92192200571,51852.1748064086,TRUE
"employee 37",43716.2879435346,4298.29724947922,48014.5851930138,TRUE
"employee 38",46129.9129365943,4623.82863159291,50753.7415681873,TRUE
"employee 39",48270.6217234954,2313.06302710436,50583.6847505998,TRUE
"employee 40",42873.8598758355,4893.74778349884,47767.6076593343,TRUE
"employee 41",42615.5427959748,-3003.54693550617,39611.9958604686,FALSE
"employee 42",46658.5425520316,-4963.60585675575,41694.9366952758,FALSE
"employee 43",47278.2081644982,-1246.72745354474,46031.4807109535,FALSE
"employee 44",46010.8337923884,9788.30684907734,55799.1406414658,TRUE
"employee 45",48395.7820129581,3218.16443582065,51613.9464487787,TRUE
"employee 46",48592.6667018794,8926.48926004767,57519.155961927,TRUE
"employee 47",46534.167858772,4144.18215397745,50678.3500127494,TRUE
"employee 48",45230.9687365778,377.753396751359,45608.7221333291,TRUE
"employee 49",45974.7443138622,3294.39965775236,49269.1439716145,TRUE
"employee 50",49749.7748234309,7761.08700316399,57510.8618265949,TRUE
"employee 51",42040.9275963902,-85.4328949935734,41955.4947013967,FALSE
"employee 52",47936.3240511157,117.207409348339,48053.531460464,TRUE
"employee 53",41234.4345939346,5411.41453897581,46645.8491329104,TRUE
"employee 54",46113.2246255875,-2452.13295449503,43661.0916710924,FALSE
"employee 55",47843.7896259129,-4196.6739052441,43647.1157206688,FALSE
"employee 56",48763.5439122096,9301.45629681647,58065.000209026,TRUE
"employee 57",44393.8659434207,1896.91644744016,46290.7823908608,TRUE
"employee 58",42075.0365662389,-3672.63395572081,38402.402610518,FALSE
"employee 59",47853.9460524917,-1824.02725564316,46029.9187968485,FALSE
"employee 60",45214.1984086484,39.3863522913307,45253.5847609397,TRUE
"employee 61",44128.3916519023,-3092.57910586894,41035.8125460334,FALSE
"employee 62",45422.1417661756,-112.492849584669,45309.648916591,FALSE
"employee 63",40590.0146183558,8501.67053285986,49091.6851512156,TRUE
"employee 64",43252.8878189623,7793.69667521678,51046.5844941791,TRUE
"employee 65",48944.9824136682,6498.45207459293,55443.4344882611,TRUE
"employee 66",40379.4993809424,1063.3173037786,41442.816684721,TRUE
"employee 67",48714.896265883,4607.64859686606,53322.5448627491,TRUE
"employee 68",45525.8133122697,7642.21818419173,53168.0314964615,TRUE
"employee 69",42183.0075816251,2545.41633999906,44728.4239216242,TRUE
"employee 70",42393.4095026925,5441.53054244816,47834.9400451407,TRUE
"employee 71",46429.4341905043,4555.37949921563,50984.8136897199,TRUE
